title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Raging Bull,2h 9min," Biography
,  Drama
,  Sport
",Martin Scorsese,Jake LaMotta,Robert De Niro,8.2,"277,727"
Incendies,2h 11min," Drama
,  Mystery
,  War
",Denis Villeneuve,Denis Villeneuve,Lubna Azabal,8.2,"116,082"
The Great Escape,2h 52min," Adventure
,  Drama
,  History
",John Sturges,Paul Brickhill,Steve McQueen,8.2,"198,230"
Babam ve Oglum,1h 48min," Drama
,  Family
",Çagan Irmak,Çagan Irmak,Çetin Tekindor,8.4,"61,558"
Bacheha-Ye aseman,1h 29min," Drama
,  Family
",Majid Majidi,Majid Majidi,Mohammad Amir Naji,8.3,"47,628"
Pan's Labyrinth,1h 58min," Drama
,  Fantasy
,  War
",Guillermo del Toro,Guillermo del Toro,Ivana Baquero,8.2,"553,210"
Chinatown,2h 10min," Drama
,  Mystery
,  Thriller
",Roman Polanski,Robert Towne,Jack Nicholson,8.2,"256,679"
The Third Man,1h 44min," Film-Noir
,  Mystery
,  Thriller
",Carol Reed,Graham Greene,Orson Welles,8.2,"138,111"
Tonari no Totoro,1h 26min," Animation
,  Family
,  Fantasy
",Hayao Miyazaki,Hayao Miyazaki,Hitoshi Takagi,8.2,"226,256"
Ran,2h 42min," Action
,  Drama
",Akira Kurosawa,Akira Kurosawa,Tatsuya Nakadai,8.2,"95,692"
Hauru no ugoku shiro,1h 59min," Animation
,  Adventure
,  Family
",Hayao Miyazaki,Hayao Miyazaki,Chieko Baishô,8.2,"269,722"
Oordeel te Neurenberg,3h 6min," Drama
,  War
",Stanley Kramer,Abby Mann,Spencer Tracy,8.2,"58,731"
El secreto de sus ojos,2h 9min," Drama
,  Mystery
,  Romance
",Juan José Campanella,Eduardo Sacheri,Ricardo Darín,8.2,"166,034"
The Gold Rush,1h 35min," Adventure
,  Comedy
,  Drama
",Charles Chaplin,Charles Chaplin,Charles Chaplin,8.2,"85,482"
The Bridge on the River Kwai,2h 41min," Adventure
,  Drama
,  War
",David Lean,Pierre Boulle,William Holden,8.2,"179,946"
Bohemian Rhapsody,2h 14min," Biography
,  Drama
,  Music
",Bryan Singer,Anthony McCarten,Rami Malek,8.4,"53,524"
"Three Billboards Outside Ebbing, Missouri",1h 55min," Comedy
,  Crime
,  Drama
",Martin McDonagh,Martin McDonagh,Frances McDormand,8.2,"290,468"
A Beautiful Mind,2h 15min," Biography
,  Drama
",Ron Howard,Akiva Goldsman,Russell Crowe,8.2,"741,217"
"Lock, Stock and Two Smoking Barrels",1h 47min," Comedy
,  Crime
",Guy Ritchie,Guy Ritchie,Jason Flemyng,8.2,"479,057"
On the Waterfront,1h 48min," Crime
,  Drama
,  Thriller
",Elia Kazan,Budd Schulberg,Marlon Brando,8.2,"124,019"
Casino,2h 58min," Crime
,  Drama
",Martin Scorsese,Nicholas Pileggi,Robert De Niro,8.2,"399,141"
Det sjunde inseglet,1h 36min," Drama
,  Fantasy
",Ingmar Bergman,Ingmar Bergman,Max von Sydow,8.2,"137,359"
Inside Out,1h 35min," Animation
,  Adventure
,  Comedy
",Pete Docter,Pete Docter,Amy Poehler,8.2,"504,436"
The Elephant Man,2h 4min," Biography
,  Drama
",David Lynch,Christopher De Vore,Anthony Hopkins,8.2,"193,784"
Room,1h 58min," Drama
,  Thriller
",Lenny Abrahamson,Emma Donoghue,Brie Larson,8.2,"291,277"
Mr. Smith Goes to Washington,2h 9min," Comedy
,  Drama
",Frank Capra,Sidney Buchman,James Stewart,8.2,"94,686"
The Wolf of Wall Street,3h," Biography
,  Comedy
,  Crime
",Martin Scorsese,Terence Winter,Leonardo DiCaprio,8.2,"983,932"
V for Vendetta,2h 12min," Action
,  Drama
,  Sci-Fi
",James McTeigue,Lilly Wachowski,Hugo Weaving,8.2,"924,588"
Warrior,2h 20min," Drama
,  Sport
",Gavin O'Connor,Gavin O'Connor,Tom Hardy,8.2,"392,144"
Blade Runner,1h 57min," Sci-Fi
,  Thriller
",Ridley Scott,Hampton Fancher,Harrison Ford,8.2,"604,077"
The General,1h 7min," Action
,  Adventure
,  Comedy
",Clyde Bruckman,Buster Keaton,Buster Keaton,8.2,"68,488"
Smultronstället,1h 31min," Drama
,  Romance
",Ingmar Bergman,Ingmar Bergman,Victor Sjöström,8.2,"80,141"
Dial M for Murder,1h 45min," Crime
,  Thriller
",Alfred Hitchcock,Frederick Knott,Ray Milland,8.2,"134,856"
Trainspotting,1h 33min," Drama
",Danny Boyle,Irvine Welsh,Ewan McGregor,8.2,"570,885"
No Country for Old Men,2h 2min," Crime
,  Drama
,  Thriller
",Ethan Coen,Joel Coen,Tommy Lee Jones,8.1,"736,686"
There Will Be Blood,2h 38min," Drama
",Paul Thomas Anderson,Paul Thomas Anderson,Daniel Day-Lewis,8.1,"447,189"
The Sixth Sense,1h 47min," Drama
,  Mystery
,  Thriller
",M. Night Shyamalan,M. Night Shyamalan,Bruce Willis,8.1,"817,869"
Gone with the Wind,3h 58min," Drama
,  History
,  Romance
",Victor Fleming,Margaret Mitchell,Clark Gable,8.2,"255,544"
The Thing,1h 49min," Horror
,  Mystery
,  Sci-Fi
",John Carpenter,Bill Lancaster,Kurt Russell,8.1,"317,785"
Fargo,1h 38min," Crime
,  Drama
,  Thriller
",Joel Coen,Ethan Coen,William H. Macy,8.1,"541,746"
Gran Torino,1h 56min," Drama
",Clint Eastwood,Nick Schenk,Clint Eastwood,8.1,"650,780"
The Deer Hunter,3h 3min," Drama
,  War
",Michael Cimino,Michael Cimino,Robert De Niro,8.1,"275,531"
Finding Nemo,1h 40min," Animation
,  Adventure
,  Comedy
",Andrew Stanton,Andrew Stanton,Albert Brooks,8.1,"833,970"
Idi i smotri,2h 22min," Drama
,  War
",Elem Klimov,Ales Adamovich,Aleksey Kravchenko,8.2,"40,325"
Sherlock Jr.,45min," Action
,  Comedy
,  Romance
",Buster Keaton,Jean C. Havez,Buster Keaton,8.2,"30,009"
The Big Lebowski,1h 57min," Comedy
,  Crime
",Joel Coen,Ethan Coen,Jeff Bridges,8.1,"636,927"
Kill Bill: Vol. 1,1h 51min," Action
,  Crime
,  Thriller
",Quentin Tarantino,Quentin Tarantino,Uma Thurman,8.1,"870,443"
Shutter Island,2h 18min," Mystery
,  Thriller
",Martin Scorsese,Laeta Kalogridis,Leonardo DiCaprio,8.1,"962,226"
Cool Hand Luke,2h 6min," Crime
,  Drama
",Stuart Rosenberg,Donn Pearce,Paul Newman,8.1,"142,938"
Rebecca,2h 10min," Drama
,  Mystery
,  Romance
",Alfred Hitchcock,Daphne Du Maurier,Laurence Olivier,8.1,"106,997"
Tôkyô monogatari,2h 16min," Drama
",Yasujirô Ozu,Kôgo Noda,Chishû Ryû,8.2,"40,909"
Mary and Max,1h 32min," Animation
,  Comedy
,  Drama
",Adam Elliot,Adam Elliot,Toni Collette,8.1,"145,915"
Hacksaw Ridge,2h 19min," Biography
,  Drama
,  History
",Mel Gibson,Robert Schenkkan,Andrew Garfield,8.1,"339,721"
Sunrise: A Song of Two Humans,1h 34min," Drama
,  Romance
",F.W. Murnau,Carl Mayer,George O'Brien,8.2,"41,161"
Gone Girl,2h 29min," Crime
,  Drama
,  Mystery
",David Fincher,Gillian Flynn,Ben Affleck,8.1,"726,133"
Hoe tem je een draak,1h 38min," Animation
,  Action
,  Adventure
",Dean DeBlois,William Davies,Jay Baruchel,8.1,"583,240"
Relatos salvajes,2h 2min," Comedy
,  Drama
,  Thriller
",Damián Szifron,Germán Servidio,Darío Grandinetti,8.1,"141,630"
Jurassic Park,2h 7min," Adventure
,  Sci-Fi
,  Thriller
",Steven Spielberg,Michael Crichton,Sam Neill,8.1,"751,509"
A Star Is Born,2h 16min," Drama
,  Music
,  Romance
",Bradley Cooper,Eric Roth,Lady Gaga,8.3,"83,777"
Into the Wild,2h 28min," Adventure
,  Biography
,  Drama
",Sean Penn,Sean Penn,Emile Hirsch,8.1,"508,802"
Life of Brian,1h 34min," Comedy
",Terry Jones,Graham Chapman,Graham Chapman,8.1,"321,926"
Eskiya,2h 8min," Crime
,  Drama
,  Thriller
",Yavuz Turgul,Yavuz Turgul,Sener Sen,8.3,"52,496"
Het gebeurde op 'n avond,1h 45min," Comedy
,  Romance
",Frank Capra,Robert Riskin,Clark Gable,8.1,"81,715"
In the Name of the Father,2h 13min," Biography
,  Drama
",Jim Sheridan,Gerry Conlon,Daniel Day-Lewis,8.1,"136,291"
Platoon,2h," Drama
,  War
",Oliver Stone,Oliver Stone,Charlie Sheen,8.1,"341,175"
The Grand Budapest Hotel,1h 39min," Adventure
,  Comedy
,  Drama
",Wes Anderson,Stefan Zweig,Ralph Fiennes,8.1,"606,549"
Stand by Me,1h 29min," Adventure
,  Drama
",Rob Reiner,Stephen King,Wil Wheaton,8.1,"323,475"
The Truman Show,1h 43min," Comedy
,  Drama
,  Sci-Fi
",Peter Weir,Andrew Niccol,Jim Carrey,8.1,"804,221"
Network,2h 1min," Drama
",Sidney Lumet,Paddy Chayefsky,Faye Dunaway,8.1,"126,403"
Stalker,2h 42min," Drama
,  Sci-Fi
",Andrei Tarkovsky,Arkadiy Strugatskiy,Alisa Freyndlikh,8.1,"92,650"
Hotel Rwanda,2h 1min," Biography
,  Drama
,  History
",Terry George,Keir Pearson,Don Cheadle,8.1,"305,557"
Ben Hur,3h 32min," Adventure
,  Drama
,  History
",William Wyler,Lew Wallace,Charlton Heston,8.1,"195,019"
Persona,1h 25min," Drama
,  Thriller
",Ingmar Bergman,Ingmar Bergman,Bibi Andersson,8.1,"82,386"
Salinui chueok,2h 11min," Action
,  Crime
,  Drama
",Joon-ho Bong,Joon-ho Bong,Kang-ho Song,8.1,"94,484"
12 Years a Slave,2h 14min," Biography
,  Drama
,  History
",Steve McQueen,John Ridley,Chiwetel Ejiofor,8.1,"553,899"
Andrei Rublev,3h 25min," Biography
,  Drama
,  History
",Andrei Tarkovsky,Andrey Konchalovskiy,Anatoliy Solonitsyn,8.2,"36,419"
Million Dollar Baby,2h 12min," Drama
,  Sport
",Clint Eastwood,Paul Haggis,Hilary Swank,8.1,"568,648"
Le salaire de la peur,2h 11min," Adventure
,  Drama
,  Thriller
",Henri-Georges Clouzot,Georges Arnaud,Yves Montand,8.1,"46,381"
La passion de Jeanne d'Arc,1h 50min," Biography
,  Drama
,  History
",Carl Theodor Dreyer,Joseph Delteil,Maria Falconetti,8.2,"38,497"
Rang De Basanti,2h 37min," Comedy
,  Drama
",Rakeysh Omprakash Mehra,Renzil D'Silva,Aamir Khan,8.2,"96,507"
Rush,2h 3min," Action
,  Biography
,  Drama
",Ron Howard,Peter Morgan,Daniel Brühl,8.1,"379,678"
Mad Max: Fury Road,2h," Action
,  Adventure
,  Sci-Fi
",George Miller,George Miller,Tom Hardy,8.1,"742,315"
Before Sunrise,1h 41min," Drama
,  Romance
",Richard Linklater,Richard Linklater,Ethan Hawke,8.1,"228,716"
Les quatre cents coups,1h 39min," Crime
,  Drama
",François Truffaut,François Truffaut,Jean-Pierre Léaud,8.1,"88,643"
Spotlight,2h 9min," Crime
,  Drama
,  History
",Tom McCarthy,Josh Singer,Mark Ruffalo,8.1,"341,404"
Hachi: A Dog's Tale,1h 33min," Drama
,  Family
",Lasse Hallström,Stephen P. Lindsey,Richard Gere,8.1,"212,460"
Prisoners,2h 33min," Crime
,  Drama
,  Mystery
",Denis Villeneuve,Aaron Guzikowski,Hugh Jackman,8.1,"502,301"
Logan,2h 17min," Action
,  Drama
,  Sci-Fi
",James Mangold,James Mangold,Hugh Jackman,8.1,"517,417"
Amores perros,2h 34min," Drama
,  Thriller
",Alejandro G. Iñárritu,Guillermo Arriaga,Emilio Echevarría,8.1,"201,785"
The Princess Bride,1h 38min," Adventure
,  Family
,  Fantasy
",Rob Reiner,William Goldman,Cary Elwes,8.1,"345,813"
Kaze no tani no Naushika,1h 57min," Animation
,  Adventure
,  Fantasy
",Hayao Miyazaki,Hayao Miyazaki,Sumi Shimamoto,8.1,"122,797"
Catch Me If You Can,2h 21min," Biography
,  Crime
,  Drama
",Steven Spielberg,Jeff Nathanson,Leonardo DiCaprio,8.1,"681,291"
Butch Cassidy and the Sundance Kid,1h 50min," Biography
,  Crime
,  Drama
",George Roy Hill,William Goldman,Paul Newman,8.1,"181,282"
Harry Potter and the Deathly Hallows: Part 2,2h 10min," Adventure
,  Drama
,  Fantasy
",David Yates,Steve Kloves,Daniel Radcliffe,8.1,"663,285"
Rocky,2h," Drama
,  Sport
",John G. Avildsen,Sylvester Stallone,Sylvester Stallone,8.1,"454,183"
Barry Lyndon,3h 5min," Adventure
,  Drama
,  History
",Stanley Kubrick,Stanley Kubrick,Ryan O'Neal,8.1,"126,789"
"Monsters, Inc.",1h 32min," Animation
,  Adventure
,  Comedy
",Pete Docter,Pete Docter,Billy Crystal,8.1,"708,703"
The Grapes of Wrath,2h 9min," Drama
,  History
",John Ford,Nunnally Johnson,Henry Fonda,8.1,"78,419"
The Maltese Falcon,1h 40min," Film-Noir
,  Mystery
",John Huston,John Huston,Humphrey Bogart,8.1,"136,310"
Donnie Darko,1h 53min," Drama
,  Sci-Fi
,  Thriller
",Richard Kelly,Richard Kelly,Jake Gyllenhaal,8.1,"678,753"
Demonen,1h 57min," Crime
,  Drama
,  Horror
",Henri-Georges Clouzot,Pierre Boileau,Simone Signoret,8.1,"54,437"
The Terminator,1h 47min," Action
,  Sci-Fi
",James Cameron,James Cameron,Arnold Schwarzenegger,8.0,"703,844"
Dead Poets Society,2h 8min," Comedy
,  Drama
",Peter Weir,Tom Schulman,Robin Williams,8.1,"348,775"
Gandhi,3h 11min," Biography
,  Drama
,  History
",Richard Attenborough,John Briley,Ben Kingsley,8.1,"201,899"
Sanjuro,1h 36min," Action
,  Crime
,  Drama
",Akira Kurosawa,Ryûzô Kikushima,Toshirô Mifune,8.2,"25,479"
La haine,1h 38min," Crime
,  Drama
",Mathieu Kassovitz,Mathieu Kassovitz,Vincent Cassel,8.1,"127,542"
Groundhog Day,1h 41min," Comedy
,  Fantasy
,  Romance
",Harold Ramis,Danny Rubin,Bill Murray,8.0,"523,269"
Le notti di Cabiria,1h 50min," Drama
",Federico Fellini,Federico Fellini,Giulietta Masina,8.1,"37,093"
Blade Runner 2049,2h 44min," Drama
,  Mystery
,  Sci-Fi
",Denis Villeneuve,Hampton Fancher,Harrison Ford,8.0,"341,168"
La La Land,2h 8min," Comedy
,  Drama
,  Music
",Damien Chazelle,Damien Chazelle,Ryan Gosling,8.1,"400,722"
The Wizard of Oz,1h 42min," Adventure
,  Family
,  Fantasy
",Victor Fleming,Noel Langley,Judy Garland,8.0,"340,847"
Jaws,2h 4min," Adventure
,  Drama
,  Thriller
",Steven Spielberg,Peter Benchley,Roy Scheider,8.0,"493,226"
The Help,2h 26min," Drama
",Tate Taylor,Tate Taylor,Emma Stone,8.1,"379,691"
Faa yeung nin wa,1h 38min," Drama
,  Romance
",Kar-Wai Wong,Kar-Wai Wong,Tony Chiu-Wai Leung,8.1,"100,377"
Paper Moon,1h 42min," Comedy
,  Crime
,  Drama
",Peter Bogdanovich,Joe David Brown,Ryan O'Neal,8.1,"35,884"
Gangs of Wasseypur,5h 21min," Action
,  Comedy
,  Crime
",Anurag Kashyap,Akhilesh Jaiswal,Manoj Bajpayee,8.2,"65,416"
Mandariinid,1h 27min," Drama
,  War
",Zaza Urushadze,Tatjana Mülbeier,Lembit Ulfsak,8.2,"30,591"
Before Sunset,1h 20min," Drama
,  Romance
",Richard Linklater,Richard Linklater,Ethan Hawke,8.1,"199,853"
Ah-ga-ssi,2h 24min," Drama
,  Romance
,  Thriller
",Chan-wook Park,Sarah Waters,Min-hee Kim,8.1,"68,698"
"Paris, Texas",2h 25min," Drama
",Wim Wenders,L.M. Kit Carson,Harry Dean Stanton,8.1,"70,166"
Guardians of the Galaxy,2h 1min," Action
,  Adventure
,  Comedy
",James Gunn,James Gunn,Chris Pratt,8.1,"883,945"
The Bourne Ultimatum,1h 55min," Action
,  Mystery
,  Thriller
",Paul Greengrass,Tony Gilroy,Matt Damon,8.0,"570,114"
Pirates of the Caribbean: The Curse of the Black Pearl,2h 23min," Action
,  Adventure
,  Fantasy
",Gore Verbinski,Ted Elliott,Johnny Depp,8.0,"937,977"
A Wednesday,1h 44min," Crime
,  Drama
,  Mystery
",Neeraj Pandey,Neeraj Pandey,Anupam Kher,8.2,"65,704"
De beste jaren van ons leven,2h 50min," Drama
,  Romance
,  War
",William Wyler,Robert E. Sherwood,Myrna Loy,8.1,"51,509"
PK,2h 33min," Comedy
,  Drama
,  Sci-Fi
",Rajkumar Hirani,Rajkumar Hirani,Aamir Khan,8.2,"129,389"
Tenkû no shiro Rapyuta,2h 5min," Animation
,  Adventure
,  Fantasy
",Hayao Miyazaki,Hayao Miyazaki,Anna Paquin,8.1,"121,682"
